Заправки,период,Объем реализации - собственный,бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,Выручка от реализации - всего,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Налоги в выручке - НДС,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Выручка без налогов и бонусов,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Покупная стоимость - всего,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Валовой доход - всего,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары
АЗC-200,012017,233.4,190.2,82.2,108.0,0.0,43.2,43.2,11639,11221,9302,3865,5437,,1919,1919,418,1775,1712,1419,590,829,,293,293,63,9864,9509,7883,3276,4607,,1626,1626,354,8237,7956,6539,2734,3804,,1417,1417,282,1626,1554,1345,542,803,,209,209,73
АЗК-1,012017,819.3,666.3,199.3,456.6,10.3,153.0,153.0,41151,39805,33153,9391,23150,612,6652,6652,1346,6274,6072,5057,1433,3531,93,1015,1015,202,34877,33733,28096,7959,19619,518,5637,5637,1144,29135,28234,23148,6631,16082,436,5086,5086,901,5742,5498,4947,1328,3537,82,551,551,243
АЗК-10,012017,901.4,787.0,265.1,513.1,8.8,114.3,114.3,44406,43289,38293,12254,25516,523,4996,4996,1117,6771,6603,5841,1869,3892,80,762,762,168,37635,36686,32452,10385,21624,443,4234,4234,950,31851,31102,27309,8837,18099,373,3793,3793,749,5784,5583,5143,1547,3525,70,440,440,201
АЗК-11,012017,269.7,175.8,68.8,99.0,5.0,93.9,93.9,13254,12711,8705,3213,5056,299,4006,4006,543,2020,1939,1328,490,771,46,611,611,81,11234,10772,7377,2723,4285,254,3395,3395,462,9562,9189,6078,2283,3485,211,3111,3111,373,1673,1583,1299,439,800,42,284,284,89
АЗК-13,012017,313.3,237.8,98.6,137.1,2.0,75.5,75.5,15712,14918,11647,4617,6912,119,3271,3271,794,2395,2276,1777,704,1054,18,499,499,119,13318,12643,9871,3912,5857,101,2772,2772,675,11240,10705,8207,3285,4837,86,2498,2498,536,2077,1938,1664,628,1021,15,274,274,139
АЗК-14,012017,329.2,221.0,78.8,138.2,4.0,108.2,108.2,16325,15604,10919,3651,7020,248,4685,4685,722,2487,2381,1666,557,1071,38,715,715,107,13838,13223,9253,3094,5949,210,3970,3970,615,11695,11219,7636,2608,4859,170,3583,3583,476,2143,2004,1617,486,1090,41,387,387,139
АЗК-15,012017,295.0,117.9,42.0,75.9,0.0,177.1,177.1,14340,13320,5831,1962,3869,,7489,7489,1020,2183,2032,890,299,590,,1142,1142,151,12156,11288,4942,1663,3279,,6346,6346,868,10666,9944,4069,1393,2675,,5875,5875,723,1490,1345,873,270,603,,472,472,145
АЗК-16,012017,130.6,40.4,17.4,22.6,0.4,90.2,90.2,6014,5755,1965,809,1132,24,3790,3790,259,915,878,300,123,173,4,578,578,37,5099,4878,1666,686,959,20,3212,3212,222,4530,4359,1385,576,791,17,2974,2974,171,569,519,281,110,168,3,238,238,51
АЗК-17,012017,249.4,140.1,50.7,87.4,2.0,109.3,109.3,12122,11558,6926,2372,4436,118,4632,4632,564,1846,1763,1056,362,677,18,707,707,82,10277,9795,5869,2010,3760,100,3926,3926,481,8821,8448,4842,1685,3074,84,3606,3606,373,1456,1347,1027,325,686,16,320,320,109
АЗК-18,012017,396.9,307.2,111.6,195.7,0.0,89.7,89.7,19895,18984,15105,5167,9937,,3879,3879,911,3031,2896,2304,788,1516,,592,592,135,16864,16088,12801,4379,8421,,3287,3287,776,14223,13595,10611,3713,6897,,2984,2984,629,2640,2494,2190,666,1524,,304,304,147
